Telephone Calls by Prime Minister on New Year	ಹೊಸ ವರ್ಷದಂದು ಪ್ರಧಾನಮಂತ್ರಿಯವರಿಂದ ದೂರವಾಣಿ ಕರೆಗಳು
Dear sisters and brothers, new technological advances and inventions are changing our lives like never before	ಆತ್ಮೀಯ ಸೋದರ, ಸೋದರಿಯರೇ, ಹೊಸ ತಾಂತ್ರಿಕ ಪ್ರಗತಿಗಳು ಮತ್ತು ಆವಿಷ್ಕಾರಗಳು ನಮ್ಮ ಜೀವನವನ್ನು ಹಿಂದೆಂದಿಗಿಂತಲೂ ಹೆಚ್ಚಿನ ರೀತಿಯಲ್ಲಿ ಬದಲಾಯಿಸುತ್ತಿವೆ.
No doubt, these advances are making our lives more comfortable and improving the ease of living	ನಿಸ್ಸಂದೇಹವಾಗಿ, ಈ ಪ್ರಗತಿಗಳು ನಮ್ಮ ಜೀವನವನ್ನು ಹೆಚ್ಚು ಆರಾಮದಾಯಕವಾಗಿಸುತ್ತಿವೆ ಮತ್ತು ಜೀವನವನ್ನು  ಸುಲಭಗೊಳಿಸಿವೆ.
At the same time, new challenges are arising- science must find solutions to problems like increasing urbanization, pollution, urban-rural divide, growing antibacterial resistance, genetic & non-communicable diseases, water scarcity, among others	ಹಾಗೆಯೇ, ಹೊಸ ಸವಾಲುಗಳೂ ಉದ್ಭವಿಸುತ್ತಿವೆ- ಹೆಚ್ಚುತ್ತಿರುವ ನಗರೀಕರಣ, ಮಾಲಿನ್ಯ, ನಗರ-ಗ್ರಾಮೀಣ ವಿಭಜನೆ, ಕುಗ್ಗುತ್ತಿರುವ ನಿರೋಧಕ ಶಕ್ತಿ, ಹೆಚ್ಚುತ್ತಿರುವ ಆನುವಂಶಿಕ ಮತ್ತು ಸಾಂಕ್ರಾಮಿಕವಲ್ಲದ ಕಾಯಿಲೆಗಳು, ನೀರಿನ ಕೊರತೆ ಮುಂತಾದ ಸಮಸ್ಯೆಗಳಿಗೆ ವಿಜ್ಞಾನವು ಪರಿಹಾರಗಳನ್ನು ಕಂಡುಕೊಳ್ಳಬೇಕಿದೆ.
We must balance scientific advancement with the protection of environment	ನಾವು ವೈಜ್ಞಾನಿಕ ಪ್ರಗತಿಯನ್ನು ಪರಿಸರದ ಸಂರಕ್ಷಣೆಯೊಂದಿಗೆ ಸಮತೋಲನಗೊಳಿಸಬೇಕು.
In fact, that has been the Indian vision of holistic development	ವಾಸ್ತವವಾಗಿ, ಇದು ಸಮಗ್ರ ಅಭಿವೃದ್ಧಿಯ ಭಾರತೀಯ ದೃಷ್ಟಿಕೋನವಾಗಿದೆ.
I would like to recall what the famous Indian scientist AcharyaJagdish Chandra Bose had said while inaugurating the Bose Institute in 1917, about the multi-disciplinary approach and the inter-related aspects of life where the lines of physics, physiology and psychology converge.	1917 ರಲ್ಲಿ ಬೋಸ್ ಸಂಸ್ಥೆಯನ್ನು ಉದ್ಘಾಟಿಸುವಾಗ ಪ್ರಸಿದ್ಧ ಭಾರತೀಯ ವಿಜ್ಞಾನಿ ಆಚಾರ್ಯ ಜಗದೀಶ್ ಚಂದ್ರ ಬೋಸ್ ಅವರು ಬಹು-ಶಿಸ್ತಿನ ವಿಧಾನ ಮತ್ತು ಜೀವನದ ಅಂತರ-ಸಂಬಂಧಿತ ಅಂಶಗಳ ಬಗ್ಗೆ “ಭೌತಶಾಸ್ತ್ರ, ಶರೀರಶಾಸ್ತ್ರ ಮತ್ತು ಮನೋವಿಜ್ಞಾನದ ರೇಖೆಗಳ ಸಮನ್ವಯದ” ಬಗ್ಗೆ ಹೇಳಿದ್ದನ್ನು ನಾನು ಸ್ಮರಿಸುತ್ತೇನೆ.
In our labs and research centres, in our schools and colleges, we should create an ecosystem for innovation to thrive where the genius of India should find its true blossoming as Jagdish Chandra Bose had said.	ನಮ್ಮ ಪ್ರಯೋಗಾಲಯಗಳು ಮತ್ತು ಸಂಶೋಧನಾ ಕೇಂದ್ರಗಳಲ್ಲಿ, ನಮ್ಮ ಶಾಲೆಗಳು ಮತ್ತು ಕಾಲೇಜುಗಳಲ್ಲಿ, ಜಗದೀಶ್ ಚಂದ್ರ ಬೋಸ್ ಹೇಳಿದಂತೆ “ಭಾರತದ ಪ್ರತಿಭೆ ಅದರ ನಿಜವಾದ ಅರಳುವಿಕೆಯನ್ನು ಕಂಡುಕೊಳ್ಳುವಂತಾಗಲು”ನಾವು ಹೊಸತನವನ್ನು ಅಭಿವೃದ್ಧಿಪಡಿಸುವ ವ್ಯವಸ್ಥೆಯನ್ನು ಸೃಷ್ಟಿಸಬೇಕು.
Science teaching plays an important role in this regard	ಈ ವಿಷಯದಲ್ಲಿ ವಿಜ್ಞಾನ ಬೋಧನೆಯು ಪ್ರಮುಖ ಪಾತ್ರ ವಹಿಸುತ್ತದೆ.
It must ignite young minds and create a passion for science	ಅದು ಯುವ ಮನಸ್ಸುಗಳನ್ನು ಉದ್ಧೀಪಿಸಬೇಕು ಮತ್ತು ವಿಜ್ಞಾನದ ಬಗ್ಗೆ ಉತ್ಸಾಹವನ್ನು ಸೃಷ್ಟಿಸಬೇಕು.
Schools must sow the seeds for scientific temper and create an un-quenching curiosity to learn and understand new things.	ಶಾಲೆಗಳು ವೈಜ್ಞಾನಿಕ ಮನೋಭಾವಕ್ಕಾಗಿ ಬೀಜಗಳನ್ನು ಬಿತ್ತಬೇಕು ಮತ್ತು ಹೊಸ ವಿಷಯಗಳನ್ನು ಕಲಿಯಲು ಮತ್ತು ಅರ್ಥಮಾಡಿಕೊಳ್ಳಲು ಕುತೂಹಲವನ್ನು ಸೃಷ್ಟಿಸಬೇಕು.
In short, schools must lay the foundation for the spread of a strong scientific culture in the country	ಸಂಕ್ಷಿಪ್ತವಾಗಿ ಹೇಳುವುದಾದರೆ, ದೇಶದಲ್ಲಿ ಬಲವಾದ ವೈಜ್ಞಾನಿಕ ಸಂಸ್ಕೃತಿಯ ಹರಡುವಿಕೆಗೆ ಶಾಲೆಗಳು ಅಡಿಪಾಯ ಹಾಕಬೇಕು.
I am happy that Atal Tinkering Labs have been set up in thousands of schools across the country.	ದೇಶಾದ್ಯಂತ ಸಾವಿರಾರು ಶಾಲೆಗಳಲ್ಲಿ ಅಟಲ್ ಟಿಂಕರಿಂಗ್ ಲ್ಯಾಬ್‌ಗಳನ್ನು ಸ್ಥಾಪಿಸಲಾಗಿದೆ ಎಂಬುದು ನನಗೆ ಸಂತೋಷದ ವಿಚಾರವಾಗಿದೆ.
I am also glad that India has moved from 81st position in 2015 to 52nd rank in the Global Innovation Index in 2019	ಜಾಗತಿಕ ಇನ್ನೋವೇಶನ್ ಸೂಚ್ಯಂಕದಲ್ಲಿ ಭಾರತವು 2015 ರಲ್ಲಿದ್ದ 81 ನೇ ಸ್ಥಾನದಿಂದ 2019 ರಲ್ಲಿ 52 ನೇ ಸ್ಥಾನಕ್ಕೆ ಜಿಗಿದಿರುವುದು ಸಂತಸ ತಂದಿದೆ.
Technological innovation is one of the key drivers to boost economy, improve peoples lives and enable better delivery of services	ಆರ್ಥಿಕತೆಯನ್ನು ಉತ್ತೇಜಿಸಲು, ಜನರ ಜೀವನವನ್ನು ಸುಧಾರಿಸಲು ಮತ್ತು ಉತ್ತಮ ಸೇವೆಗಳನ್ನು ಒದಗಿಸಲು ತಾಂತ್ರಿಕ ನಾವೀನ್ಯತೆಯು ಪ್ರಮುಖ ಚಾಲಕ ಅಂಶಗಳಲ್ಲಿ ಒಂದಾಗಿದೆ.
We need to further improve our ranking in the coming years	ಮುಂಬರುವ ವರ್ಷಗಳಲ್ಲಿ ನಾವು ನಮ್ಮ ಶ್ರೇಯಾಂಕವನ್ನು ಇನ್ನಷ್ಟು ಸುಧಾರಿಸಬೇಕಾಗಿದೆ.
The academia-industry linkage has to be expanded not only to provide employment to those coming out of the portals of higher education institutions, but also to promote research and innovation in a big way.	ಉನ್ನತ ಶಿಕ್ಷಣ ಸಂಸ್ಥೆಗಳಿಂದ ಹೊರಬರುವವರಿಗೆ ಉದ್ಯೋಗವನ್ನು ಒದಗಿಸಲು ಮಾತ್ರವಲ್ಲದೆ ಸಂಶೋಧನೆ ಮತ್ತು ಆವಿಷ್ಕಾರಗಳನ್ನು ದೊಡ್ಡ ಪ್ರಮಾಣದಲ್ಲಿ ಉತ್ತೇಜಿಸಲು ಬೌದ್ಧಿಕ-ತಂತ್ರಜ್ಞಾನದ ಸಂಪರ್ಕವನ್ನು ವಿಸ್ತರಿಸಬೇಕಾಗಿದೆ.
If we dont make the big leap forward in terms of quality of learning in our educational institutions, we will have missed a great opportunity.	ನಮ್ಮ ಶಿಕ್ಷಣ ಸಂಸ್ಥೆಗಳಲ್ಲಿ ಕಲಿಕೆಯ ಗುಣಮಟ್ಟದ ದೃಷ್ಟಿಯಿಂದ ನಾವು ಹೆಚ್ಚಿನ ಮುನ್ನಡೆ ಸಾಧಿಸದಿದ್ದರೆ, ನಮಗಿರುವ ಉತ್ತಮ ಅವಕಾಶವನ್ನು ಕಳೆದುಕೊಳ್ಳುತ್ತೇವೆ.
We have to invest more on R & D and focus on enhancing the intellectual capital through radically new approaches which will have to be forward looking and more receptive to adaptation of the best ideas as well as seeking solutions required for our country and global contexts.	ನಾವು ಸಂಶೋಧನೆ ಮತ್ತು ಅಭಿವೃದ್ಧಿಯ ಮೇಲೆ ಹೆಚ್ಚು ಹೂಡಿಕೆ ಮಾಡಬೇಕು ಮತ್ತು ಆಮೂಲಾಗ್ರವಾಗಿ ಹೊಸ ವಿಧಾನಗಳ ಮೂಲಕ ಬೌದ್ಧಿಕ ಬಂಡವಾಳವನ್ನು ಹೆಚ್ಚಿಸುವತ್ತ ಗಮನ ಹರಿಸಬೇಕು ಮತ್ತು ನಮ್ಮ ದೇಶ ಮತ್ತು ಜಾಗತಿಕ ಸಂದರ್ಭಗಳಿಗೆ ಅಗತ್ಯವಾದ ಪರಿಹಾರಗಳನ್ನು ಹುಡುಕಬೇಕು .
As the Prime Minister, ShriNarendraModi had stated the other day, the mantra should beInnovate, Patent, Produce and Prosper.	ಪ್ರಧಾನ ಮಂತ್ರಿ ಶ್ರೀ ನರೇಂದ್ರ ಮೋದಿ ಅವರು ಹೇಳಿದಂತೆ,ಆವಿಷ್ಕರಿಸು, ಪೇಟೆಂಟ್ ಪಡೆ, ಉತ್ಪಾದಿಸು ಮತ್ತು ಪ್ರಗತಿ ಕಾಣು   ಎಂಬುದು ಮಂತ್ರವಾಗಿರಬೆಕು.
I also would like to appeal from this forum to the Corporate India to develop a symbiotic partnership with the universities and other academic institutions and contribute towards promoting R & D.	ವಿಶ್ವವಿದ್ಯಾನಿಲಯಗಳು ಮತ್ತು ಇತರ ಶೈಕ್ಷಣಿಕ ಸಂಸ್ಥೆಗಳೊಂದಿಗೆ ಸಹಭಾಗಿತ್ವವನ್ನು ಬೆಳೆಸಲು ಮತ್ತು ಆರ್ & ಡಿ ಅನ್ನು ಉತ್ತೇಜಿಸಲು ಕೊಡುಗೆ ನೀಡಲು ನಾನು ಈ ವೇದಿಕೆಯಿಂದ ಕಾರ್ಪೊರೇಟ್ ಭಾರತಕ್ಕೆ ಮನವಿ ಮಾಡುತ್ತೇನೆ.
The India of today is surging forward with renewed vigour and enthusiasm	ಇಂದಿನ ಭಾರತವು ಹೊಸ ಚೈತನ್ಯ ಮತ್ತು ಉತ್ಸಾಹದಿಂದ ಮುಂದೆ ಸಾಗುತ್ತಿದೆ.
As the country aims to become a $ 5 trillion economy in the coming years, we need to fully leverage the demographic advantage with science and technology playing a leading role in driving the economic and social development	ಮುಂಬರುವ ವರ್ಷಗಳಲ್ಲಿ ದೇಶವು 5 ಟ್ರಿಲಿಯನ್ ಡಾಲರ್ ಆರ್ಥಿಕತೆಯಾಗಲು ಉದ್ದೇಶಿಸಿರುವಂತೆ, ಆರ್ಥಿಕ ಮತ್ತು ಸಾಮಾಜಿಕ ಅಭಿವೃದ್ಧಿಗೆ ಚಾಲನೆ ನೀಡುವಲ್ಲಿ ವಿಜ್ಞಾನ ಮತ್ತು ತಂತ್ರಜ್ಞಾನವು ಪ್ರಮುಖ ಪಾತ್ರ ವಹಿಸುವುದರೊಂದಿಗೆ ನಾವು ಜನಸಂಖ್ಯೆಯ ಪ್ರಯೋಜನವನ್ನು ಸಂಪೂರ್ಣವಾಗಿ ಉಪಯೋಗಿಸಿಕೊಳ್ಳಬೇಕಾಗಿದೆ.
On its part, the government has launched several initiatives like Make in India, Digital India and Start Up India to promote indigenous manufacturing, empower people digitally and wealth-creation through innovation	ಸ್ಥಳೀಯ ಉತ್ಪಾದನೆಯನ್ನು ಉತ್ತೇಜಿಸಲು, ಜನರನ್ನು ಡಿಜಿಟಲ್ ರೂಪದಲ್ಲಿ ಸಬಲೀಕರಣಗೊಳಿಸಲು ಮತ್ತು ಹೊಸತನದ ಮೂಲಕ ಸಂಪತ್ತು ಸೃಷ್ಟಿಸಲು ಸರ್ಕಾರವು ಮೇಕ್ ಇನ್ ಇಂಡಿಯಾ, ಡಿಜಿಟಲ್ ಇಂಡಿಯಾ ಮತ್ತು ಸ್ಟಾರ್ಟ್ ಅಪ್ ಇಂಡಿಯಾದಂತಹ ಉಪಕ್ರಮಗಳನ್ನು ಪ್ರಾರಂಭಿಸಿದೆ.
I am sure, senior scientists would be mentoring and hand-holding the young ones to benefit from such schemes and realize their scientific and entrepreneurial potential.	ಅಂತಹ ಯೋಜನೆಗಳಿಂದ ಲಾಭ ಪಡೆಯಲು ಮತ್ತು ಅವರ ವೈಜ್ಞಾನಿಕ ಮತ್ತು ಉದ್ಯಮಶೀಲತೆಯ ಸಾಮರ್ಥ್ಯವನ್ನು ಅರಿತುಕೊಳ್ಳಲು ಹಿರಿಯ ವಿಜ್ಞಾನಿಗಳು ಯುವಕರಿಗೆ ಮಾರ್ಗದರ್ಶನ ಮಾಡುತ್ತಾರೆ ಮತ್ತು ಅವರ ಕೈ ಹಿಡಿದು ನಡೆಸುತ್ತಾರೆ ಎಂದು ನನಗೆ ನಂಬಿಕೆಯಿದೆ.
I am happy to note that so many scientists have received ISCA Awards, besides Young Scientists Awards, and ISCA Best Poster Awardst is also a memorable event for many of you who have presented papers in this Science Congress	ಯುವ ವಿಜ್ಞಾನಿಗಳ ಪ್ರಶಸ್ತಿಗಳು ಮತ್ತು ಐಎಸ್ಸಿಎ ಅತ್ಯುತ್ತಮ ಪೋಸ್ಟರ್ ಪ್ರಶಸ್ತಿಗಳಲ್ಲದೆ ಅನೇಕ ವಿಜ್ಞಾನಿಗಳು ಐಎಸ್ಸಿಎ ಪ್ರಶಸ್ತಿಗಳನ್ನು ಪಡೆದಿರುವುದು ನನಗೆ ಸಂತಸ ತಂದಿದೆ.
The practice of senior academics and scientists lending a helping hand to juniors in presenting scientific papers is really praise-worthy	ಹಿರಿಯ ಶಿಕ್ಷಣ ತಜ್ಞರು ಮತ್ತು ವಿಜ್ಞಾನಿಗಳು ವೈಜ್ಞಾನಿಕ ಪ್ರಬಂಧಗಳನ್ನು ಪ್ರಸ್ತುತಪಡಿಸುವಲ್ಲಿ ಕಿರಿಯರಿಗೆ ಸಹಾಯ ಹಸ್ತ ನೀಡುವ ಅಭ್ಯಾಸ ನಿಜವಾಗಿಯೂ ಪ್ರಶಂಸೆಗೆ ಅರ್ಹವಾಗಿದೆ.
This practice ensures the growth of the community in a healthy way	ಈ ಅಭ್ಯಾಸವು ಸಮುದಾಯ ಬೆಳವಣಿಗೆ ಆರೋಗ್ಯಕರ ರೀತಿಯಲ್ಲಿರುವುದನ್ನು ಖಾತ್ರಿಗೊಳಿಸುತ್ತದೆ.
A word of appreciation is due to the University of Agricultural Sciences, Bengaluru for hosting the event amidst this sylvan setting.	ಈ ಕಾಡಿನಂತಹ ಪರಿಸರದಲ್ಲಿ ಕಾರ್ಯಕ್ರಮವನ್ನು ಆಯೋಜಿಸಿದ್ದಕ್ಕಾಗಿ ಬೆಂಗಳೂರಿನ ಕೃಷಿ ವಿಜ್ಞಾನ ವಿಶ್ವವಿದ್ಯಾಲಯವು ಮೆಚ್ಚುಗೆಗೆ ಅರ್ಹವಾಗಿದೆ.
I am sure that this event has provided a wonderful learning opportunity for all of you	ಈ ಕಾರ್ಯಕ್ರಮವು ನಿಮ್ಮೆಲ್ಲರಿಗೂ ಅದ್ಭುತವಾದ ಕಲಿಕೆಯ ಅವಕಾಶವನ್ನು ಒದಗಿಸಿದೆ ಎಂದು ನನಗೆ ನಂಬಿಕೆಯಿದೆ.
It is successful if it helps to find solutions that are appropriate to our present day challenges without jeopardizing our collective future.	ನಮ್ಮ ಸಾಮೂಹಿಕ ಭವಿಷ್ಯಕ್ಕೆ ಧಕ್ಕೆ ಬರದಂತೆ ನಮ್ಮ ಇಂದಿನ ಸವಾಲುಗಳಿಗೆ ಸೂಕ್ತವಾದ ಪರಿಹಾರಗಳನ್ನು ಕಂಡುಹಿಡಿಯಲು ಸಹಾಯ ಮಾಡಿದರೆ ಇದು ಯಶಸ್ವಿಯಾದಂತೆಯೇ.
We must deliver good quality education and healthcare	ನಾವು ಉತ್ತಮ ಗುಣಮಟ್ಟದ ಶಿಕ್ಷಣ ಮತ್ತು ಆರೋಗ್ಯ ಸೇವೆಯನ್ನು ನೀಡಬೇಕು.
These are challenges that need innovative thinking and collaborative action	ಹೊಸ ಚಿಂತನೆ ಮತ್ತು ಸಹಕಾರಿ ಕ್ರಿಯೆಯ ಅಗತ್ಯವಿರುವ ಸವಾಲುಗಳು ಇವು.
We live in an interconnected world and we need to learn how to work together to make it a safer, more peaceful and a more sustainable planet.	ನಾವು ಅಂತರ್ಸಂಪರ್ಕಿತ ಜಗತ್ತಿನಲ್ಲಿ ವಾಸಿಸುತ್ತಿದ್ದೇವೆ ಮತ್ತು ಅದನ್ನು ಹೆಚ್ಚು ಸುರಕ್ಷಿತ, ಶಾಂತಿಯುತ ಮತ್ತು ಸುಸ್ಥಿರ ಗ್ರಹವನ್ನಾಗಿ ಮಾಡಲು ಹೇಗೆ ಒಟ್ಟಾಗಿ ಕೆಲಸ ಮಾಡಬೇಕೆಂದು ನಾವು ಕಲಿಯಬೇಕಾಗಿದೆ.
As we begin the new year and a new decade in our countrys history, we must build on our past and build new bridges through science and technology to a brighter future	ನಾವು ಹೊಸ ವರ್ಷ ಮತ್ತು ಹೊಸ ದಶಕವನ್ನು ಪ್ರಾರಂಭಿಸುತ್ತಿರುವಾಗ, ನಾವು ವಿಜ್ಞಾನದ ಮತ್ತು ತಂತ್ರಜ್ಞಾನದ ಮೂಲಕ ನಮ್ಮ ಭೂತಕಾಲ  ಮತ್ತು ಉಜ್ವಲ ಭವಿಷ್ಯಕ್ಕೆ ಹೊಸ ಸೇತುವೆಗಳನ್ನು ನಿರ್ಮಿಸಬೇಕು.
I wish to conclude by quoting again from Boses concluding message which is relevant in todays context as it was in 1917 when his research centre was set up: We stand here today and resume work tomorrow so that by our efforts of our lives and our unshaken faith in the future, we may all help to build the greater India yet to be.	1917 ರಲ್ಲಿ ಅವರ ಸಂಶೋಧನಾ ಕೇಂದ್ರದ ಸ್ಥಾಪನೆಯ ದಿನ ಬೋಸ್‌ ಮಾಡಿದ ಮುಕ್ತಾಯದ ಸಂದೇಶವನ್ನು ಮತ್ತೊಮ್ಮೆ ಉಲ್ಲೇಖಿಸುವ ಮೂಲಕ ನಾನು ನನ್ನ ಮಾತು ಮುಕ್ತಾಯಗೊಳಿಸಲು ಬಯಸುತ್ತೇನೆ: “ನಾವು ಇಂದು ಇಲ್ಲಿ ನಿಂತು ನಾಳೆಯ ಕೆಲಸವನ್ನು ಪುನರಾರಂಭಿಸುತ್ತೇವೆ.
Cabinet approves agreement between India and Mongolia on Cooperation in the Exploration and Uses of Outer Space for Peaceful and Civilian Purposes	ಶಾಂತಿಯುತ ಮತ್ತು ನಾಗರಿಕ ಉದ್ದೇಶಗಳಿಗಾಗಿ ಬಾಹ್ಯಾಕಾಶ ಪರಿಶೋಧನೆ ಮತ್ತು ಬಳಕೆಯಲ್ಲಿ ಸಹಕಾರ ಕುರಿತು ಭಾರತ ಮತ್ತು ಮಂಗೋಲಿಯಾ ನಡುವಿನ ಒಪ್ಪಂದಕ್ಕೆ ಸಂಪುಟದ ಅನುಮೋದನೆ
The Union Cabinet, chaired by the Prime Minister Shri Narendra Modi, has given its approval for an Agreement between Government of the Republic of India and Government of Mongolia on Cooperation in the Exploration and Uses of Outer Space for Peaceful and Civilian Purposes.	ಪ್ರಧಾನಿ ಶ್ರೀ ನರೇಂದ್ರ ಮೋದಿ ಅವರ ಅಧ್ಯಕ್ಷತೆಯಲ್ಲಿ ನಡೆದ ಕೇಂದ್ರ ಸಚಿವ ಸಂಪುಟ ಸಭೆಯು, ಶಾಂತಿಯುತ ಮತ್ತು ನಾಗರಿಕ ಉದ್ದೇಶಗಳಿಗಾಗಿ ಬಾಹ್ಯಾಕಾಶ ಪರಿಶೋಧನೆ ಮತ್ತು ಬಳಕೆಗಳಲ್ಲಿ ಸಹಕಾರ ಕುರಿತು ಭಾರತ ಮತ್ತು ಮಂಗೋಲಿಯಾ ಸರ್ಕಾರದ ನಡುವಿನ ಒಪ್ಪಂದಕ್ಕೆ ಅನುಮೋದನೆ ನೀಡಿದೆ.
The Agreement was signed at New Delhi on 20 September 2019 during the state visit of the President of Mongolia to India.	ಮಂಗೋಲಿಯಾ ಅಧ್ಯಕ್ಷರ ಭಾರತ ಪ್ರವಾಸದ ಸಂದರ್ಭದಲ್ಲಿ ಸೆಪ್ಟೆಂಬರ್ 20, 2019 ರಂದು ನವದೆಹಲಿಯಲ್ಲಿ ಈ ಒಪ್ಪಂದಕ್ಕೆ ಸಹಿ ಹಾಕಲಾಗಿತ್ತು.
This Agreement shall enable pursuing the following potential interest areas of cooperation such as, space science, technology and applications including remote sensing of the earthatellite communication and satellite based navigationpace science and planetary explorationse of spacecraft and space systems and ground systemnd application of space technology.	ಈ ಒಪ್ಪಂದವು ಬಾಹ್ಯಾಕಾಶ ವಿಜ್ಞಾನ, ತಂತ್ರಜ್ಞಾನ ಮತ್ತು ಭೂಮಿಯ ದೂರ ಸಂವೇದನೆ ಪಗ್ರಹ ಸಂವಹನ ಮತ್ತು ಉಪಗ್ರಹ ಆಧಾರಿತ ಸಂಚರಣೆ ಾಹ್ಯಾಕಾಶ ವಿಜ್ಞಾನ ಮತ್ತು ಗ್ರಹಗಳ ಪರಿಶೋಧನೆ ಾಹ್ಯಾಕಾಶ ನೌಕೆ ಮತ್ತು ಬಾಹ್ಯಾಕಾಶ ವ್ಯವಸ್ಥೆಗಳು ಮತ್ತು ನೆಲದ ವ್ಯವಸ್ಥೆಯ ಬಳಕೆ ಮತ್ತು ಬಾಹ್ಯಾಕಾಶ ತಂತ್ರಜ್ಞಾನದ ಅಪ್ಲಿಕೇಶನ್‌ಗಳಂತಹ ಸಹಕಾರದ ಸಂಭಾವ್ಯ ಆಸಕ್ತಿಯ ಕ್ಷೇತ್ರಗಳನ್ನು ಅನುಸರಿಸಲು ಅನುವು ಮಾಡಿಕೊಡುತ್ತದೆ.
Thus all sections and regions of the country will get benefited.	ಹೀಗಾಗಿ ದೇಶದ ಎಲ್ಲಾ ಭಾಗಗಳು ಮತ್ತು ಪ್ರದೇಶಗಳು ಇದರ ಪ್ರಯೋಜನ ಪಡೆಯುತ್ತವೆ.
Implementation Strategy and targets	ಅನುಷ್ಠಾನ ತಂತ್ರ ಮತ್ತು ಗುರಿಗಳು
The signed Agreement would lead to concluding specific implementing Arrangement and setting up of Joint Working Group, to work out the plan of action including the time-frame and the means of implementing this Agreement.	ಒಪ್ಪಂದವು ನಿರ್ದಿಷ್ಟ ಅನುಷ್ಠಾನ ವ್ಯವಸ್ಥೆಯನ್ನು ತೀರ್ಮಾನಿಸಲು ಮತ್ತು ಜಂಟಿ ಕಾರ್ಯ ಸಮೂಹವನ್ನು ಸ್ಥಾಪಿಸಲು, ಸಮಯದ-ಚೌಕಟ್ಟು ಮತ್ತು ಈ ಒಪ್ಪಂದವನ್ನು ಅನುಷ್ಠಾನಗೊಳಿಸುವ ವಿಧಾನಗಳು ಸೇರಿದಂತೆ ಕ್ರಿಯಾ ಯೋಜನೆಯನ್ನು ರೂಪಿಸಲು ಕಾರಣವಾಗುತ್ತದೆ.
The signed Agreement will provide impetus to explore newer research activities and application possibilities in the field of remote sensing of the earthatellite communicationatellite navigationpace science and exploration of outer space.	ಭೂಮಿಯ ದೂರ ಸಂವೇದಿ, ಉಪಗ್ರಹ ಸಂವಹನ, ಉಪಗ್ರಹ ಸಂಚರಣೆ, ಬಾಹ್ಯಾಕಾಶ ವಿಜ್ಞಾನ ಮತ್ತು ಬಾಹ್ಯಾಕಾಶ ಪರಿಶೋಧನೆ ಕ್ಷೇತ್ರದಲ್ಲಿ ಹೊಸ ಸಂಶೋಧನಾ ಚಟುವಟಿಕೆಗಳು ಮತ್ತು ಅಪ್ಲಿಕೇಶನ್ ಸಾಧ್ಯತೆಗಳನ್ನು ಅನ್ವೇಷಿಸಲು ಒಪ್ಪಂದವು ಉತ್ತೇಜಿಸುತ್ತದೆ.
Department of Space (DOS) and the Mongolian Ministry of Infrastructure signed an Agreement for cooperation in space science, technology and applications on January 15, 2004	ಬಾಹ್ಯಾಕಾಶ ಇಲಾಖೆ ಮತ್ತು ಮಂಗೋಲಿಯನ್ ಮೂಲಸೌಕರ್ಯ ಸಚಿವಾಲಯವು ಜನವರಿ 15, 2004 ರಂದುಬಾಹ್ಯಾಕಾಶ ವಿಜ್ಞಾನ, ತಂತ್ರಜ್ಞಾನ ಮತ್ತು ಅನ್ವಯಿಕೆಗಳಲ್ಲಿ ಸಹಕಾರಕ್ಕಾಗಿ ಒಪ್ಪಂದಕ್ಕೆಸಹಿ ಹಾಕಿತು.
When our Embassy in Mongolia was contacted for reviving the cooperation, it is understood that Mongolian Ministry of Infrastructure is abolished and the space activities are presently handled by Communication and Information Technology Authority (CITA) of Mongolia.	ಸಹಕಾರವನ್ನು ಪುನರುಜ್ಜೀವನಗೊಳಿಸಲು ಮಂಗೋಲಿಯಾದ ನಮ್ಮ ರಾಯಭಾರ ಕಚೇರಿಯನ್ನು ಸಂಪರ್ಕಿಸಿದಾಗ, ಮಂಗೋಲಿಯನ್ ಮೂಲಸೌಕರ್ಯ ಸಚಿವಾಲಯವನ್ನು ರದ್ದುಪಡಿಸಲಾಗಿದ್ದು, ಬಾಹ್ಯಾಕಾಶ ಚಟುವಟಿಕೆಗಳನ್ನು ಪ್ರಸ್ತುತ ಮಂಗೋಲಿಯಾದ ಸಂವಹನ ಮತ್ತು ಮಾಹಿತಿ ತಂತ್ರಜ್ಞಾನ ಪ್ರಾಧಿಕಾರ (ಸಿಐಟಿಎ) ನಿರ್ವಹಿಸುತ್ತಿದೆ ಎಂದು ತಿಳಿದುಬಂದಿದೆ.
Cabinet approves ratification of Migration and Mobility Partnership Agreement between India and France	ಭಾರತ ಮತ್ತು ಫ್ರಾನ್ಸ್ ನಡುವಿನ ವಲಸೆ ಮತ್ತು ಸಂಚಾರ ಪಾಲುದಾರಿಕೆ ಒಪ್ಪಂದಕ್ಕೆ ಸಂಪುಟದ ಅನುಮೋದನೆ
The Agreement was signed in March, 2018 during the State Visit of the French President to India	ಫ್ರೆಂಚ್ ಅಧ್ಯಕ್ಷರ ಭಾರತ ಭೇಟಿಯ ಸಂದರ್ಭದಲ್ಲಿ ಮಾರ್ಚ್, 2018 ರಲ್ಲಿ ಈ ಒಪ್ಪಂದಕ್ಕೆ ಸಹಿ ಹಾಕಲಾಗಿತ್ತು.
